Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1914,-0.16,-0.19,-0.12,-0.24,-0.07,-0.18,-0.38,-0.15,-0.27,-0.12,-0.03,-0.16,-0.18,-0.37
1915,-0.14,-0.14,-0.14,-0.22,-0.02,-0.22,-0.59,-0.14,-0.18,-0.01,-0.03,-0.15,-0.23,-1.99
1916,-0.36,-0.41,-0.31,-0.36,-0.45,-0.23,-0.49,-0.52,-0.23,-0.49,-0.41,-0.23,-0.17,-1.05
1917,-0.46,-0.57,-0.36,-0.49,-0.64,-0.19,-0.83,-0.48,-0.42,-0.69,-0.59,-0.23,-0.1,0.06
1918,-0.3,-0.39,-0.21,-0.4,-0.34,-0.14,-1.02,-0.25,-0.34,-0.38,-0.3,-0.06,-0.23,-0.29
1919,-0.28,-0.35,-0.21,-0.43,-0.21,-0.22,-0.71,-0.54,-0.29,-0.23,-0.18,-0.15,-0.32,0.19
1920,-0.28,-0.3,-0.25,-0.25,-0.26,-0.32,-0.02,-0.19,-0.34,-0.38,-0.15,-0.19,-0.48,-1.15
1921,-0.19,-0.11,-0.27,0.02,-0.26,-0.31,-0.02,0.18,-0.08,-0.29,-0.23,-0.23,-0.38,-0.84
1922,-0.28,-0.27,-0.3,-0.24,-0.33,-0.28,-0.31,-0.39,-0.13,-0.33,-0.32,-0.24,-0.29,-0.28
1923,-0.27,-0.22,-0.31,-0.15,-0.3,-0.34,0.16,-0.14,-0.25,-0.33,-0.28,-0.26,-0.41,-0.55
1924,-0.27,-0.18,-0.36,-0.13,-0.26,-0.43,0.46,-0.24,-0.22,-0.27,-0.25,-0.39,-0.45,-0.54
1925,-0.22,-0.14,-0.3,-0.04,-0.25,-0.38,-0.08,0.19,-0.18,-0.29,-0.21,-0.24,-0.55,-0.87
1926,-0.11,0.01,-0.22,0.03,0,-0.41,0.56,0.17,-0.21,-0.01,0.01,-0.35,-0.45,-0.64
1927,-0.22,-0.13,-0.3,-0.12,-0.17,-0.39,0.01,-0.2,-0.12,-0.15,-0.19,-0.3,-0.46,-1.39
1928,-0.2,-0.1,-0.3,-0.06,-0.16,-0.4,0.71,-0.16,-0.22,-0.16,-0.17,-0.29,-0.48,-2.13
1929,-0.36,-0.33,-0.38,-0.37,-0.28,-0.46,0.14,-0.61,-0.38,-0.28,-0.29,-0.43,-0.45,-1.08
1930,-0.16,-0.01,-0.3,0.04,-0.12,-0.42,0.53,0.04,-0.1,-0.1,-0.13,-0.33,-0.47,-2.6
1931,-0.1,0.05,-0.22,0.01,0.07,-0.43,0.57,-0.03,-0.14,0.1,0.05,-0.42,-0.4,-0.42
1932,-0.16,-0.05,-0.26,0.04,-0.17,-0.35,0.48,0.2,-0.2,-0.19,-0.14,-0.21,-0.53,-0.99
1933,-0.29,-0.25,-0.32,-0.24,-0.29,-0.34,-0.16,-0.46,-0.11,-0.28,-0.29,-0.21,-0.49,-1.15
1934,-0.13,0,-0.26,0.18,-0.26,-0.26,0.88,0.31,-0.12,-0.26,-0.25,-0.16,-0.38,-0.57
1935,-0.2,-0.1,-0.31,-0.04,-0.19,-0.38,0.34,-0.05,-0.16,-0.17,-0.21,-0.31,-0.42,-1.72
1936,-0.15,-0.04,-0.27,-0.03,-0.14,-0.3,0.39,0.11,-0.25,-0.06,-0.22,-0.27,-0.33,-0.04
1937,-0.03,0.12,-0.18,0.2,-0.06,-0.22,1.23,0.03,-0.02,0,-0.12,-0.19,-0.26,0.36
1938,-0.01,0.16,-0.19,0.39,-0.23,-0.1,1.5,0.38,0.03,-0.18,-0.28,-0.06,-0.11,-0.87
1939,-0.02,0.09,-0.13,0.22,-0.13,-0.12,0.56,0.28,0.08,-0.11,-0.14,-0.04,-0.19,-1.61
1940,0.12,0.17,0.09,0.11,0.28,-0.07,1,-0.02,-0.09,0.27,0.29,0.03,-0.2,-0.06
1941,0.18,0.23,0.16,0.01,0.49,-0.05,0,-0.09,0.09,0.54,0.43,0.04,-0.15,-0.47
1942,0.06,0.13,0,0.13,0.07,-0.01,0.73,-0.06,0.06,0.12,0.03,0.06,-0.05,-0.91
1943,0.09,0.18,-0.01,0.37,-0.09,0.04,1.42,0.28,0.11,-0.11,-0.07,0.07,0,1.13
1944,0.2,0.27,0.14,0.38,0.18,0.05,1.17,0.46,0.09,0.1,0.26,0.19,-0.1,-0.92
1945,0.09,0.1,0.09,0.1,0.16,-0.03,0.63,-0.03,0.04,0.09,0.24,0.03,0,-1.75
1946,-0.08,0.02,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.16,-0.03,-0.08,-0.22,-0.24,-0.15
1947,-0.03,0.08,-0.14,0.16,-0.07,-0.16,1.07,-0.13,0.04,-0.04,-0.1,-0.19,-0.08,-0.19
1948,-0.11,-0.02,-0.2,0.13,-0.19,-0.24,0.12,0.31,0,-0.23,-0.15,-0.19,-0.19,-1.35
1949,-0.11,-0.03,-0.2,0.11,-0.19,-0.23,0.2,0.16,0.05,-0.23,-0.15,-0.17,-0.15,-1.95
1950,-0.18,-0.15,-0.21,-0.05,-0.29,-0.14,0.2,-0.31,0.04,-0.3,-0.29,-0.06,-0.16,-0.87
1951,-0.07,0.04,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,-0.01,-0.12,-0.21,-0.16,-0.7
1952,0.01,0.06,-0.04,0.11,0.01,-0.09,0.27,-0.09,0.19,-0.01,0.04,-0.1,-0.02,-0.49
1953,0.08,0.24,-0.08,0.35,0.07,-0.18,1.02,0.35,0.14,0.08,0.06,-0.08,-0.24,-1.09
